施設名,住所,カテゴリー,部屋数,開業,プライス・インデックス
ホテルモントレ札幌,〒060-0034 北海道札幌市中央区北4条東1丁目3,シティホテル,250,1994/6/30,"15,001 - 20,000"
ホテルエミオン札幌,〒060-0808 北海道札幌市北区北8条西1-4,シティホテル,295,2023/12/20,"15,001 - 20,000"
クロスホテル札幌,〒060-0002 北海道札幌市中央区北2条西2丁目23,シティホテル,181,2007/7/20,"20,001 - 25,000"
ANAクラウンプラザホテル札幌,〒060-0003 北海道札幌市中央区北3条西1丁目2-9,シティホテル,412,1974/6/5,"20,001 - 25,000"
札幌プリンスホテル,北海道札幌市中央区南二条西十一丁目,シティホテル,587,1972/1/21,"25,001 - 30,000"
ザ・ゲートホテル札幌 by HULIC,〒060-0003 北海道札幌市中央区北3条西3丁目3,シティホテル,172,2025/12/20,"25,001 - 30,000"
京王プラザホテル札幌,〒060-0005 北海道札幌市中央区北5条西7丁目2-1,シティホテル,483,1982/5/16,"30,001 - 35,000"
フェアフィールド・バイ・マリオット札幌,北海道札幌市中央区南四条東一丁目,シティホテル,254,1995/4/26,"30,001 - 35,000"
コートヤード・バイ・マリオット札幌,〒064-0810 北海道札幌市中央区南10条西1丁目1,シティホテル,321,2024/7/1,"30,001 - 35,000"
メルキュールホテル札幌,〒064-0804 北海道札幌市中央区南4条西2丁目2-4,シティホテル,285,2009/6/1,"35,001 - 40,000"
JRタワーホテル日航札幌,〒060-0005 北海道札幌市中央区北5条西2丁目5,シティホテル,342,2003/5/31,"40,001 - 45,000"
SAPPORO STREAM HOTEL,〒064-0804 北海道札幌市中央区南4条西4丁目1-1,シティホテル,436,2024/1/16,"40,001 - 45,000"
OMO3札幌すすきの,〒064-0805 北海道札幌市中央区南5条西6丁目14-1,ビジネスホテル,226,2022/1/28,"10,001 - 12,500"
三井ガーデンホテル札幌,〒060-0005 北海道札幌市中央区北5条西6丁目18-3,ビジネスホテル,177,2010/6/2,"20,001 - 25,000"
すすきのグランベルホテル,〒064-0805 北海道札幌市中央区南5条西2丁目6-2,ビジネスホテル,300,2021/9/1,"20,001 - 25,000"
ザ ロイヤルパーク キャンバス 札幌大通公園,"〒060-0042 北海道札幌市中央区大通西1丁目12-2,13-1",ビジネスホテル,134,2021/10/1,"20,001 - 25,000"
ホテルグレイスリー札幌,北海道札幌市中央区北四条西四丁目,ビジネスホテル,440,2006/8/16,"25,001 - 30,000"
京王プレリアホテル 札幌,〒060-0808 北海道札幌市北区北8条西4丁目11-1,ビジネスホテル,337,2019/5/24,"25,001 - 30,000"
THE KNOT SAPPORO,〒060-0063 北海道札幌市中央区南三条西3丁目16-2,ビジネスホテル,140,2020/8/1,"25,001 - 30,000"
ラ・ジェント・ステイ札幌大通,北海道札幌市中央区南二条西五丁目２６番地,ビジネスホテル,219,2016/8/2,"35,001 - 40,000"
三井ガーデンホテル札幌ウエスト,〒060-0005 北海道札幌市中央区北五条西6丁目2-4,ビジネスホテル,169,2020/2/20,"35,001 - 40,000"
FAV LUX 札幌すすきの,〒064-0806 北海道札幌市中央区南6条西7丁目4-3 第82松井ビル,ビジネスホテル,84,2025/7/1,"35,001 - 40,000"
グランドメルキュール札幌大通公園,〒060-0001 北海道札幌市中央区北1条西11丁目,リゾートホテル,294,1992/7/1,"25,001 - 30,000"
ハイアット セントリック札幌,北海道札幌市中央区北一条西5丁目1番4,,216,2026/10/1,
ハイアットセントリック札幌,北海道札幌市中央区北一条西 5 丁目 1 番 4,,216,2026/12/31,
TRUNK HOTEL SAPPORO,北海道札幌市中央区南2条西4丁目11-4,,262,2027/1/31,
パーク ハイアット 札幌,北海道札幌市中央区大通西4丁目1番1,,157,2029/12/31,
