No,施設名,住所,カテゴリー,部屋数,開業,プライス・インデックス,緯度,経度,取得元
1,ANAクラウンプラザホテル札幌,〒060-0003 北海道札幌市中央区北3条西1丁目2-9,シティホテル,412,1974/6/5,"20,001 - 25,000",43.065571,141.355316,GSI
2,京王プラザホテル札幌,〒060-0005 北海道札幌市中央区北5条西7丁目2-1,シティホテル,483,1982/5/16,"30,001 - 35,000",43.066528,141.345001,GSI
3,グランドメルキュール札幌大通公園,〒060-0001 北海道札幌市中央区北1条西11丁目,リゾートホテル,294,1992/7/1,"25,001 - 30,000",43.060726,141.339920,GSI
4,ホテルモントレ札幌,〒060-0034 北海道札幌市中央区北4条東1丁目3,シティホテル,250,1994/6/30,"15,001 - 20,000",43.066975,141.356659,GSI
5,フェアフィールド・バイ・マリオット札幌,北海道札幌市中央区南四条東一丁目,シティホテル,254,1995/4/26,"30,001 - 35,000",43.056904,141.358597,GSI
6,JRタワーホテル日航札幌,〒060-0005 北海道札幌市中央区北5条西2丁目5,シティホテル,342,2003/5/31,"40,001 - 45,000",43.068001,141.351227,GSI
7,ホテルグレイスリー札幌,北海道札幌市中央区北四条西四丁目,ビジネスホテル,440,2006/8/16,"25,001 - 30,000",43.066044,141.349838,GSI
8,クロスホテル札幌,〒060-0002 北海道札幌市中央区北2条西2丁目23,シティホテル,181,2007/7/20,"20,001 - 25,000",43.064049,141.353226,GSI
9,メルキュールホテル札幌,〒064-0804 北海道札幌市中央区南4条西2丁目2-4,シティホテル,285,2009/6/1,"35,001 - 40,000",43.055649,141.355774,GSI
10,三井ガーデンホテル札幌,〒060-0005 北海道札幌市中央区北5条西6丁目18-3,ビジネスホテル,177,2010/6/2,"20,001 - 25,000",43.066765,141.346497,GSI
11,ラ・ジェント・ステイ札幌大通,北海道札幌市中央区南二条西五丁目２６番地,ビジネスホテル,219,2016/8/2,"35,001 - 40,000",43.057812,141.350296,GSI
12,京王プレリアホテル 札幌,〒060-0808 北海道札幌市北区北8条西4丁目11-1,ビジネスホテル,337,2019/5/24,"25,001 - 30,000",43.070366,141.348785,GSI
13,三井ガーデンホテル札幌ウエスト,〒060-0005 北海道札幌市中央区北五条西6丁目2-4,ビジネスホテル,169,2020/2/20,"35,001 - 40,000",43.066765,141.346497,GSI
14,THE KNOT SAPPORO,〒060-0063 北海道札幌市中央区南三条西3丁目16-2,ビジネスホテル,140,2020/8/1,"25,001 - 30,000",43.057087,141.353790,GSI
15,すすきのグランベルホテル,〒064-0805 北海道札幌市中央区南5条西2丁目6-2,ビジネスホテル,300,2021/9/1,"20,001 - 25,000",43.055016,141.355911,GSI
16,ザ ロイヤルパーク キャンバス 札幌大通公園,"〒060-0042 北海道札幌市中央区大通西1丁目12-2,13-1",ビジネスホテル,134,2021/10/1,"20,001 - 25,000",43.060329,141.355835,GSI
17,OMO3札幌すすきの,〒064-0805 北海道札幌市中央区南5条西6丁目14-1,ビジネスホテル,226,2022/1/28,"10,001 - 12,500",43.054165,141.349655,GSI
18,ホテルエミオン札幌,〒060-0808 北海道札幌市北区北8条西1-4,シティホテル,295,2023/12/20,"15,001 - 20,000",43.071312,141.353561,GSI
19,SAPPORO STREAM HOTEL,〒064-0804 北海道札幌市中央区南4条西4丁目1-1,シティホテル,436,2024/1/16,"40,001 - 45,000",43.055187,141.352646,GSI
20,コートヤード・バイ・マリオット札幌,〒064-0810 北海道札幌市中央区南10条西1丁目1,シティホテル,321,2024/7/1,"30,001 - 35,000",43.047775,141.357346,GSI
21,FAV LUX 札幌すすきの,〒064-0806 北海道札幌市中央区南6条西7丁目4-3 第82松井ビル,ビジネスホテル,84,2025/7/1,"35,001 - 40,000",43.052242,141.348526,GSI
22,ザ・ゲートホテル札幌 by HULIC,〒060-0003 北海道札幌市中央区北3条西3丁目3,シティホテル,172,2025/12/20,"25,001 - 30,000",43.065075,141.351685,GSI
23,ハイアット セントリック札幌,北海道札幌市中央区北一条西5丁目1番4,,216,2026/10/1,,43.062305,141.349228,GSI
24,ハイアットセントリック札幌,北海道札幌市中央区北一条西 5 丁目 1 番 4,,216,2026/12/31,,43.062305,141.349228,GSI
25,TRUNK HOTEL SAPPORO,北海道札幌市中央区南2条西4丁目11-4,,262,2027/1/31,,43.058033,141.351929,GSI
26,パーク ハイアット 札幌,北海道札幌市中央区大通西4丁目1番1,,157,2029/12/31,,43.059750,141.351486,GSI
