No,施設名,住所,カテゴリー,部屋数,開業,プライス・インデックス,緯度,経度,取得元
1,万平ホテル,〒389-0102 長野県北佐久郡軽井沢町軽井沢925,リゾートホテル,109,1894/7/1,"50,001 - 55,000",36.356766,138.645721,GSI
2,軽井沢プリンスホテル ウエスト,長野県軽井沢町軽井沢,リゾートホテル,395,1973/4/28,"110,001 - 115,000",36.338700,138.626600,manual
3,ザ・プリンス 軽井沢,〒389-0193 長野県北佐久郡軽井沢町軽井沢1049-1,リゾートホテル,100,1982/4/1,"35,001 - 40,000",36.323940,138.639648,GSI
4,星のや軽井沢,長野県北佐久郡軽井沢町,リゾートホテル,77,2005/1/1,"175,001 - 180,000",36.362500,138.595500,manual
5,軽井沢マリオットホテル,〒389-0111 長野県北佐久郡軽井沢町長倉4339,リゾートホテル,142,2016/7/29,"85,001 - 90,000",36.341606,138.575851,GSI
6,レジーナリゾート軽井沢御影用水,〒389-0115 長野県北佐久郡軽井沢町追分49-2,リゾートホテル,26,2017/5/29,"50,001 - 55,000",36.329742,138.527725,GSI
7,旧軽井沢KIKYOキュリオ・コレクションbyヒルトン,〒389-0102 長野県北佐久郡軽井沢町軽井沢491-5,リゾートホテル,50,2018/4/19,"110,001 - 115,000",36.352524,138.632507,GSI
8,ルグラン軽井沢ホテル＆リゾート,長野県軽井沢町発地,リゾートホテル,58,2018/7/20,"85,001 - 90,000",36.302956,138.617950,GSI
9,軽井沢プリンスホテル イースト,〒389-0193 長野県北佐久郡軽井沢町軽井沢,リゾートホテル,159,2020/9/4,"40,001 - 45,000",36.340500,138.640000,manual
10,THE HIRAMATSU 軽井沢御代田,〒389-0201 長野県北佐久郡御代田町大字塩野375-723,オーベルジュ,37,2021/3/16,"175,001 - 180,000",36.346306,138.493454,GSI
11,ホテルインディゴ軽井沢,〒389-0111 長野県北佐久郡軽井沢町大字長倉字屋敷添18番地39,リゾートホテル,155,2022/2/17,"45,001 - 50,000",36.338917,138.591049,GSI
12,ふふ 軽井沢ー陽光の風ー,〒389-0111長野県北佐久郡軽井沢町大字長倉568-1,旅館,24,2023/12/24,"155,001 - 160,000",36.332451,138.605118,GSI
13,ふふ 旧軽井沢ー静養の森ー,〒389-0102長野県北佐久郡軽井沢町軽井沢1299-2,旅館,20,2023/12/24,"105,001 - 110,000",36.349552,138.627121,GSI
